School Yr,Location,District ID,District Name,School ID,School Name,School Type,Grade Band,Virtual Status,Governance,ADM,Total Expenditures,Per Pupil Exp,Fed Per Pupil Exp,State/Local Per Pupil Exp,Direct Classroom Expenditures,Classroom Support,Building Support,Central Support,Other Expenditures,ESD Direct Support,School Expenditures,District Expenditures,General Fund,Special State and Local Revenue Funds,Special Federal Revenue Funds,Special Revenue Funds,Trust and Agency Funds,Internal Service Funds,Enterprise Funds,ESD General Fund,ESD Special Revenue Funds,ESD Internal
23-24,Pine Eagle SD 61-Pine Eagle Charter School,1897,Pine Eagle SD 61,15,Pine Eagle Charter School,Charter,Combined,Supplemental Virtual,Public,209.57,5377333.22,25658.888295080404,908.2454549792433,24750.64284010116,2614750,678774,1368052,316309,399448.22,147783.22,1575213,3654337,4128295,690474,190341,220440,0,0,0,147783.22,0,0
23-24,Monroe SD 1J-Monroe High School,1898,Monroe SD 1J,43,Monroe High School,Regular,High School,Supplemental Virtual,Public,120.15,3171564.525233856,26396.70849133463,1267.7456586012988,25128.96283273333,1436426.2194127026,517312.2364390114,714216.9989503056,179069.02800558065,324540.04242625565,64999.13845336169,1717679.98,1388885.4067804944,2485985.0156457615,372820.2189064576,152319.64088094607,95440.51134732926,0,0,0,64999.13845336169,0,0
23-24,Monroe SD 1J-Monroe Grade School,1898,Monroe SD 1J,1321,Monroe Grade School,Regular,Elementary,Not Virtual,Public,256.15,4887328.984766144,19079.949189014813,1576.1636897093656,17503.785499305446,1898769.0405872974,642596.6135609886,1159189.0310496944,381760.5619944193,805013.7375737443,138572.8615466383,1787765.72,2960990.4032195057,3760627.2943542385,438003.9610935424,403734.32911905396,146390.53865267074,0,0,0,138572.8615466383,0,0
23-24,Alsea SD 7J-Alsea Charter School,1899,Alsea SD 7J,17,Alsea Charter School,Charter,Combined,Supplemental Virtual,Public,265.51,6772392,25507.107076946257,892.7724002862416,24614.334676660015,2940933,1206006,1650076,624138,351239,185368,3014101,3572923,5152896,1034199,237040,162889,0,0,0,185368,0,0
23-24,Philomath SD 17J-Blodgett Elementary School,1900,Philomath SD 17J,18,Blodgett Elementary School,Regular,Elementary,Not Virtual,Public,34.7,580014.4292288413,16715.113234260556,83.75611504723346,16631.357119213324,350829.95018278866,62656.47940440043,124856.96243927126,17582.388649508386,24088.648552872568,17588.575043377678,445259.13,117166.72418546367,534562.811855962,9371.989086899943,2906.3371921390017,11598.682669534413,3738.4751885723927,247.55819235588976,0,17588.575043377678,0,0
23-24,Philomath SD 17J-Philomath Elementary School,1900,Philomath SD 17J,20,Philomath Elementary School,Regular,Elementary,Supplemental Virtual,Public,372.1829411764706,5716719.753461256,15359.97253230011,648.5144818213215,14711.458050478788,3109894.121616247,1142899.761637525,1018504.6807659562,188584.00923578744,256837.1802057392,188650.3628457456,4271370.37,1256699.0206155095,4734184.124633796,383332.70426617307,241366.0272397942,127964.640726289,38566.650632934856,2655.2431165229254,0,188650.3628457456,0,0
23-24,Philomath SD 17J-Philomath Middle School,1900,Philomath SD 17J,21,Philomath Middle School,Regular,Junior High/Middle School,Supplemental Virtual,Public,341.16563106796116,5456613.982165983,15994.031887341576,283.2027585646321,15710.829128776944,2936164.32649691,1170420.8179186354,952055.422393872,172867.6287980313,225105.78655853367,172928.45257233822,4131718.4,1151967.1295936443,4398623.284936968,623009.71867995,96619.04784589016,137973.8411761281,25025.678830179677,2433.9581245285544,0,172928.45257233822,0,0
23-24,Philomath SD 17J-Philomath High School,1900,Philomath SD 17J,22,Philomath High School,Regular,High School,Supplemental Virtual,Public,447.29933895215476,8302543.928367739,18561.493848431146,277.108424045953,18284.385424385193,3819005.6845680927,2499142.1879315884,1419430.23298267,226645.2685914977,338320.5542938902,226725.0141214179,6565484.67,1510334.244246321,6620463.260793752,1116721.402254673,123950.41489382816,165807.15715773476,45685.537480829276,3191.141665503742,0,226725.0141214179,0,0
23-24,Philomath SD 17J-Clemens Primary School,1900,Philomath SD 17J,3162,Clemens Primary School,Regular,Elementary,Not Virtual,Public,175.37,3246938.2252380955,18514.787165638907,1523.8784278715477,16990.90873776736,1834818.3380505953,654517.1316815476,534839.52625,88859.46678571429,133903.7624702381,88890.73214285716,2565899.7,592147.7930952382,2576756.3301636907,231748.81651785714,267242.5598958333,65741.43968750001,15307.214836309524,1251.1319940476192,0,88890.73214285716,0,0
23-24,Philomath SD 17J-Kings Valley Charter School,1900,Philomath SD 17J,3440,Kings Valley Charter School,Charter,Combined,Supplemental Virtual,Public,201.37997144488864,1248101.4671974494,6197.743788731322,86.04402876920999,6111.699759962112,489854.3938415756,206500.49074488622,323114.0622703828,102038.64334786551,126593.8769927392,102074.54582108579,466054.83,679972.0913763635,798896.9985601364,279289.57932857977,17327.544056546685,40583.593023195106,8492.51298693797,1436.6934209676463,0,102074.54582108579,0,0
23-24,Philomath SD 17J-Philomath Academy,1900,Philomath SD 17J,5492,Philomath Academy,Alternative,Combined,Focus Virtual,Public,87.74211735852484,849359.3943406376,9680.178914192977,84.74765710957632,9595.4312570834,525011.3952437908,79112.64068141686,142441.07289784757,44458.67459159539,58335.61092598709,44474.31745317767,508618.32,296266.75688746,612601.749055696,159660.62986586711,7435.938875968468,17682.445559618616,6878.340044236305,625.9734860736237,0,44474.31745317767,0,0
