Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
NE 85TH AVE / NE MILTON ST,26-28595,3,Society,Society,Prostitution Offenses,Madison South,1/30/2026,16,Prostitution Offenses,1,Purchasing Prostitution,45.548854169,-122.576139746,7670291,693033,1/30/2026,January 2026
NE 86TH AVE / NE BRAZEE ST,26-16017,3,Society,Society,Prostitution Offenses,Madison South,1/17/2026,414,Prostitution Offenses,1,Assisting or Promoting Prostitution,45.540051084,-122.574412256,7670651,689813,1/17/2026,January 2026
NE 86TH AVE / NE BRAZEE ST,26-16017,3,Society,Society,Prostitution Offenses,Madison South,1/17/2026,414,Prostitution Offenses,1,Purchasing Prostitution,45.540051084,-122.574412256,7670651,689813,1/17/2026,January 2026
NE 86TH AVE / NE BRAZEE ST,26-20675,3,Property,Property,Larceny: Other,Madison South,1/17/2026,359,Larceny Offenses,1,Purse-Snatching,45.540051084,-122.574412256,7670651,689813,1/21/2026,January 2026
NE 122ND AVE / E BURNSIDE ST,26-25466,1,Society,Society,Drug Offenses,Hazelwood,1/26/2026,2330,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.522585530,-122.537765536,7679877,683208,1/26/2026,January 2026
NE 162ND AVE / NE FREMONT ST,26-21596,1,Society,Society,Weapon Law Violations,Wilkes,1/22/2026,2044,Weapon Law Violations,1,Weapons Law Violations,45.548154035,-122.495927542,7690827,692260,1/22/2026,January 2026
NE ALTON ST / NE 61ST AVE,26-26176,2,Property,Property,Larceny: Car Prowl - Other,Cully,1/27/2026,1738,Larceny Offenses,1,Theft From Motor Vehicle,45.550363091,-122.600909064,7663962,693747,1/27/2026,January 2026
NE BROADWAY / NE 45TH AVE,26-12117,2,Property,Property,Larceny: Car Prowl - Car Parts,Hollywood,1/12/2026,1900,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.535127352,-122.616940575,7659711,688301,1/13/2026,January 2026
NE BROADWAY / NE 68TH AVE,26-21104,3,Property,Property,Larceny: Other,Madison South,7/4/2024,0,Larceny Offenses,1,All Other Larceny,45.534874654,-122.593289398,7665767,688051,1/22/2026,January 2026
NE COLUMBIA BLVD / NE MARTIN LUTHER KING JR BLVD,26-15596,2,Person,Person,Assault: Simple/Intimidation,Piedmont,1/16/2026,1847,Assault Offenses,1,Simple Assault,45.581138745,-122.661416986,7648767,705373,1/16/2026,January 2026
NE COUCH ST / NE SANDY BLVD,26-901330,3,Property,Property,Larceny: Other,Kerns,1/15/2026,2350,Larceny Offenses,1,All Other Larceny,45.523608471,-122.651717225,7650691,684338,1/16/2026,January 2026
NE DAVIS ST / NE 11TH AVE,26-900723,3,Property,Property,Larceny: Car Prowl - Other,Kerns,1/8/2026,2030,Larceny Offenses,1,Theft From Motor Vehicle,45.524338952,-122.654609853,7649957,684624,1/9/2026,January 2026
NE DAVIS ST / NE MARTIN LUTHER KING JR BLVD,26-7308,3,Person,Person,Assault: Aggravated,Kerns,1/8/2026,1550,Assault Offenses,1,Aggravated Assault,45.524361609,-122.661730151,7648133,684681,1/8/2026,January 2026
NE DAVIS ST / NE MARTIN LUTHER KING JR BLVD,26-7308,3,Property,Property,Larceny: Other,Kerns,1/8/2026,1550,Larceny Offenses,1,All Other Larceny,45.524361609,-122.661730151,7648133,684681,1/8/2026,January 2026
NE EVERETT ST / NE 74TH AVE,26-24722,3,Property,Property,Motor Vehicle Theft,Montavilla,1/25/2026,1900,Motor Vehicle Theft,1,Motor Vehicle Theft,45.524649138,-122.586811797,7667330,684281,1/26/2026,January 2026
NE GARFIELD AVE / NE BRYANT ST,26-902091,2,Property,Property,Larceny: Other,Piedmont,1/23/2026,1500,Larceny Offenses,1,All Other Larceny,45.573271405,-122.662367324,7648447,702512,1/24/2026,January 2026
NE GLISAN ST / NE 55TH AVE,26-467,3,Property,Property,Other Property Offenses,North Tabor,1/1/2026,1338,Stolen Property Offenses,1,Stolen Property Offenses,45.526496192,-122.607524083,7662041,685092,1/1/2026,January 2026
NE GLISAN ST / NE 58TH AVE,26-11961,3,Person,Person,Assault: Simple/Intimidation,North Tabor,1/13/2026,1206,Assault Offenses,1,Simple Assault,45.526487122,-122.604276217,7662873,685067,1/13/2026,January 2026
NE GLISAN ST / NE 82ND AVE,26-27750,3,Property,Property,Vandalism,Montavilla,1/29/2026,715,Vandalism,1,Vandalism,45.526422457,-122.579039255,7669338,684876,1/29/2026,January 2026
NE GLISAN ST / NE 102ND AVE,26-25512,1,Society,Society,Weapon Law Violations,Hazelwood,1/27/2026,40,Weapon Law Violations,1,Weapons Law Violations,45.526271695,-122.558151511,7674688,684684,1/27/2026,January 2026
NE GLISAN ST / NE 157TH AVE,26-16404,1,Property,Property,Larceny: Other,Wilkes,1/17/2026,728,Larceny Offenses,1,All Other Larceny,45.526435608,-122.501498848,7689204,684379,1/17/2026,January 2026
NE GRAND AVE / E BURNSIDE ST,26-900605,3,Property,Property,Larceny: Car Prowl - Other,Kerns,1/7/2026,1315,Larceny Offenses,1,Theft From Motor Vehicle,45.522932188,-122.660707758,7648381,684153,1/7/2026,January 2026
NE GRAND AVE / NE LLOYD BLVD,26-22513,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,1/23/2026,1835,Larceny Offenses,1,Theft From Motor Vehicle,45.526543116,-122.660692952,7648420,685469,1/23/2026,January 2026
NE GRAND AVE / NE LLOYD BLVD,26-22513,2,Property,Property,Vandalism,Lloyd,1/23/2026,1835,Vandalism,1,Vandalism,45.526543116,-122.660692952,7648420,685469,1/23/2026,January 2026
NE HANCOCK ST / NE VICTORIA AVE,26-902142,2,Property,Property,Vandalism,Eliot,1/23/2026,500,Vandalism,1,Vandalism,45.536512751,-122.665690924,7647237,689137,1/24/2026,January 2026
NE HOLLADAY ST / NE 7TH AVE,26-900615,2,Property,Property,Vandalism,Lloyd,1/7/2026,1315,Vandalism,1,Vandalism,45.530052553,-122.658632701,7648982,686734,1/7/2026,January 2026
NE HOYT ST / NE GRAND AVE,26-902312,2,Property,Property,Larceny: Other,Lloyd,1/27/2026,1945,Larceny Offenses,1,All Other Larceny,45.527270397,-122.660681597,7648430,685734,1/27/2026,January 2026
NE IRVING ST / NE 12TH AVE,26-902394,3,Property,Property,Larceny: Car Prowl - Other,Kerns,1/28/2026,630,Larceny Offenses,1,Theft From Motor Vehicle,45.527944651,-122.653556144,7650262,685931,1/28/2026,January 2026
NE KILLINGSWORTH ST / NE 34TH AVE,26-21287,2,Property,Property,Larceny: Car Prowl - Car Parts,Concordia,1/22/2026,1504,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.562723874,-122.629640739,7656723,698445,1/22/2026,January 2026
NE KILLINGSWORTH ST / NE 34TH AVE,26-21287,2,Property,Property,Motor Vehicle Theft,Concordia,1/22/2026,1504,Motor Vehicle Theft,1,Motor Vehicle Theft,45.562723874,-122.629640739,7656723,698445,1/22/2026,January 2026
NE KLICKITAT ST / NE 82ND AVE,26-13578,3,Society,Society,Prostitution Offenses,Madison South,1/14/2026,2224,Prostitution Offenses,1,Purchasing Prostitution,45.546340116,-122.578773198,7669593,692134,1/14/2026,January 2026
NE KNOTT ST / NE MARTIN LUTHER KING JR BLVD,26-8463,2,Property,Property,Larceny: Car Prowl - Other,Eliot,1/9/2026,1832,Larceny Offenses,1,Theft From Motor Vehicle,45.541879566,-122.661596943,7648338,691065,1/9/2026,January 2026
NE LAWRENCE AVE / NE SANDY BLVD,26-5346,3,Property,Property,Vandalism,Kerns,1/5/2026,2000,Vandalism,1,Vandalism,45.528297374,-122.639372652,7653899,685963,1/6/2026,January 2026
NE LOMBARD ST / NE LOMBARD ST&33RD AVE RAMP,26-901438,2,Property,Property,Larceny: Car Prowl - Other,Concordia,1/11/2026,1535,Larceny Offenses,1,Theft From Motor Vehicle,45.572301678,-122.629644814,7656814,701936,1/15/2026,January 2026
NE MARINE DR / NE 6TH DR,26-3658,2,Property,Property,Motor Vehicle Theft,East Columbia,1/3/2026,2100,Motor Vehicle Theft,1,Motor Vehicle Theft,45.599410647,-122.659397197,7649462,712019,1/4/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE COUCH ST,26-9111,3,Property,Property,Other Property Offenses,Kerns,1/10/2026,1513,Counterfeiting/Forgery,1,Counterfeiting/Forgery,45.523647742,-122.661757616,7648119,684421,1/10/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE EVERETT ST,26-901218,3,Property,Property,Larceny: Car Prowl - Car Parts,Kerns,1/10/2026,2305,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.525061694,-122.661706065,7648146,684936,1/13/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE IRVING ST,26-22312,2,Property,Property,Vandalism,Lloyd,1/23/2026,1516,Vandalism,1,Vandalism,45.527959267,-122.661691484,7648178,685992,1/23/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE IRVING ST,26-901023,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,1/11/2026,1000,Larceny Offenses,1,Theft From Motor Vehicle,45.527959267,-122.661691484,7648178,685992,1/11/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE LLOYD BLVD,26-24220,2,Property,Property,Fraud,Lloyd,1/25/2026,1625,Fraud Offenses,1,Credit Card/ATM Fraud,45.526551826,-122.661688639,7648165,685479,1/25/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE LLOYD BLVD,26-24220,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,1/25/2026,1625,Larceny Offenses,1,Theft From Motor Vehicle,45.526551826,-122.661688639,7648165,685479,1/25/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE LLOYD BLVD,26-900346,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,1/5/2026,2115,Larceny Offenses,1,Theft From Motor Vehicle,45.526551826,-122.661688639,7648165,685479,1/6/2026,January 2026
NE MARTIN LUTHER KING JR BLVD / NE WASCO ST,26-901301,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,1/15/2026,1900,Larceny Offenses,1,Theft From Motor Vehicle,45.532226259,-122.661658780,7648228,687547,1/15/2026,January 2026
NE MULTNOMAH ST / NE 7TH AVE,26-19917,2,Person,Person,Assault: Simple/Intimidation,Lloyd,1/21/2026,956,Assault Offenses,1,Simple Assault,45.531498595,-122.658625227,7648998,687261,1/21/2026,January 2026
NE PACIFIC ST / NE GRAND AVE,26-16642,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,1/17/2026,2050,Larceny Offenses,1,Theft From Motor Vehicle,45.529325683,-122.660666134,7648454,686483,1/17/2026,January 2026
NE RANDALL AVE / NE SANDY BLVD,26-24241,3,Property,Property,Motor Vehicle Theft,Kerns,1/25/2026,1430,Motor Vehicle Theft,1,Motor Vehicle Theft,45.528643078,-122.638487881,7654129,686083,1/25/2026,January 2026
NE RODNEY AVE / NE FAILING ST,26-23815,2,Property,Property,Vandalism,King,1/25/2026,535,Vandalism,1,Vandalism,45.550798850,-122.664674103,7647637,694337,1/25/2026,January 2026
NE RODNEY AVE / NE FARGO ST,26-6608,2,Property,Property,Motor Vehicle Theft,Eliot,12/24/2025,2000,Motor Vehicle Theft,1,Motor Vehicle Theft,45.546063107,-122.664103006,7647737,692607,1/7/2026,January 2026
NE RODNEY AVE / NE SKIDMORE ST,26-900989,2,Property,Property,Larceny: Car Prowl - Other,King,1/10/2026,2105,Larceny Offenses,1,Theft From Motor Vehicle,45.554582253,-122.664677838,7647673,695716,1/10/2026,January 2026
NE SACRAMENTO ST / NE 60TH AVE,26-26164,3,Property,Property,Motor Vehicle Theft,Rose City Park,1/27/2026,1721,Motor Vehicle Theft,1,Motor Vehicle Theft,45.539918035,-122.601521934,7663706,689944,1/27/2026,January 2026
NE SANDY BLVD / NE 64TH AVE,26-19203,3,Property,Property,Motor Vehicle Theft,Rose City Park,1/20/2026,1500,Motor Vehicle Theft,1,Motor Vehicle Theft,45.545039327,-122.597369704,7664818,691783,1/20/2026,January 2026
NE SANDY BLVD / NE 102ND AVE,26-901406,1,Property,Property,Larceny: Other,Parkrose,1/15/2026,1615,Larceny Offenses,1,All Other Larceny,45.559118893,-122.557765130,7675092,696654,1/15/2026,January 2026
NE VICTORIA AVE / NE BROADWAY,26-900929,2,Property,Property,Vandalism,Eliot,1/9/2026,2200,Vandalism,1,Vandalism,45.535102279,-122.665703479,7647220,688623,1/10/2026,January 2026
NW 2ND AVE / NW EVERETT ST,26-1616,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,1/2/2026,1730,Assault Offenses,1,Simple Assault,45.525281480,-122.672456249,7645394,685090,1/2/2026,January 2026
NW 2ND AVE / NW EVERETT ST,26-18847,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/20/2026,907,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.525281480,-122.672456249,7645394,685090,1/20/2026,January 2026
NW 3RD AVE / NW FLANDERS ST,26-19240,4,Property,Property,Motor Vehicle Theft,Old Town/Chinatown,1/20/2026,1300,Motor Vehicle Theft,1,Motor Vehicle Theft,45.525969877,-122.673485746,7645137,685348,1/20/2026,January 2026
NW 3RD AVE / NW FLANDERS ST,26-28197,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/29/2026,1549,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.525969877,-122.673485746,7645137,685348,1/29/2026,January 2026
NW 3RD AVE / NW GLISAN ST,26-2263,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/3/2026,1029,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.526800385,-122.673529251,7645134,685651,1/3/2026,January 2026
NW 4TH AVE / NW COUCH ST,26-95,4,Society,Society,Weapon Law Violations,Old Town/Chinatown,1/1/2026,211,Weapon Law Violations,1,Weapons Law Violations,45.523812107,-122.674421875,7644876,684568,1/1/2026,January 2026
NW 4TH AVE / NW COUCH ST,26-2915,4,Person,Person,Assault: Aggravated,Old Town/Chinatown,1/4/2026,209,Assault Offenses,1,Aggravated Assault,45.523812107,-122.674421875,7644876,684568,1/4/2026,January 2026
NW 4TH AVE / NW DAVIS ST,26-1385,4,Person,Person,Assault: Aggravated,Old Town/Chinatown,1/2/2026,1317,Assault Offenses,1,Aggravated Assault,45.524525018,-122.674445275,7644877,684828,1/2/2026,January 2026
NW 4TH AVE / NW DAVIS ST,26-24716,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/26/2026,849,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.524525018,-122.674445275,7644877,684828,1/26/2026,January 2026
NW 4TH AVE / NW DAVIS ST,26-27171,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,1/28/2026,1618,Assault Offenses,1,Simple Assault,45.524525018,-122.674445275,7644877,684828,1/28/2026,January 2026
NW 5TH AVE / NW EVERETT ST,26-27157,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/28/2026,1609,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.525218660,-122.675486694,7644617,685088,1/28/2026,January 2026
