Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6131049,2,Person,Person,Assault: Aggravated,Humboldt,1/1/2026,127,Assault Offenses,1,Aggravated Assault,,,,,1/1/2026,January 2026
,26-X6131196,2,Person,Person,Assault: Aggravated,Portsmouth,1/1/2026,148,Assault Offenses,1,Aggravated Assault,,,,,1/1/2026,January 2026
,26-X6131217,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,1/1/2026,145,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131239,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,1/1/2026,833,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131395,4,Person,Person,Assault: Simple/Intimidation,Northwest,1/1/2026,17,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131401,2,Person,Person,Assault: Aggravated,Cully,1/2/2026,129,Assault Offenses,1,Aggravated Assault,,,,,1/2/2026,January 2026
,26-X6131401,2,Person,Person,Assault: Simple/Intimidation,Cully,1/2/2026,129,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
,26-X6131403,4,Person,Person,Assault: Simple/Intimidation,Downtown,1/1/2026,329,Assault Offenses,1,Intimidation,,,,,1/1/2026,January 2026
,26-X6131427,1,Person,Person,Assault: Simple/Intimidation,Glenfair,1/1/2026,345,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131430,3,Person,Person,Assault: Simple/Intimidation,Hosford-Abernethy,1/1/2026,514,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131432,3,Person,Person,Assault: Simple/Intimidation,Kerns,6/18/2025,0,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131450,2,Person,Person,Assault: Simple/Intimidation,Cathedral Park,1/1/2026,1934,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131456,1,Person,Person,Assault: Simple/Intimidation,Glenfair,1/1/2026,2027,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131470,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,1/1/2026,2038,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131483,3,Person,Person,Assault: Simple/Intimidation,Richmond,1/1/2026,2142,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131549,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/2/2026,330,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
,26-X6131747,1,Person,Person,Assault: Aggravated,Lents,12/28/2025,1,Assault Offenses,1,Aggravated Assault,,,,,1/2/2026,January 2026
,26-X6131752,1,Person,Person,Sex Offenses,Hazelwood,1/2/2026,1151,Sex Offenses,1,Rape,,,,,1/2/2026,January 2026
,26-X6131761,,Person,Person,Assault: Aggravated,Other,11/1/2025,1,Assault Offenses,1,Aggravated Assault,,,,,1/2/2026,January 2026
,26-X6131781,3,Person,Person,Assault: Aggravated,Mt Scott-Arleta,1/2/2026,1620,Assault Offenses,1,Aggravated Assault,,,,,1/2/2026,January 2026
,26-X6131873,3,Person,Person,Assault: Simple/Intimidation,Kerns,1/2/2026,2249,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
,26-X6131928,2,Person,Person,Assault: Simple/Intimidation,Eliot,1/2/2026,1631,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
,26-X6131928,2,Property,Property,Vandalism,Eliot,1/2/2026,1631,Vandalism,1,Vandalism,,,,,1/2/2026,January 2026
,26-X6131950,4,Person,Person,Assault: Simple/Intimidation,Maplewood,1/3/2026,327,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6131961,2,Person,Person,Assault: Simple/Intimidation,St Johns,1/3/2026,1440,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6131967,4,Person,Person,Assault: Aggravated,Goose Hollow,1/3/2026,1524,Assault Offenses,1,Aggravated Assault,,,,,1/3/2026,January 2026
,26-X6131971,2,Person,Person,Assault: Simple/Intimidation,St Johns,1/3/2026,834,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6131972,3,Person,Person,Assault: Simple/Intimidation,Brentwood-Darlington,1/3/2026,1910,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132003,1,Person,Person,Assault: Simple/Intimidation,Wilkes,1/3/2026,939,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132004,3,Person,Person,Assault: Simple/Intimidation,Madison South,1/3/2026,2354,Assault Offenses,1,Simple Assault,,,,,1/4/2026,January 2026
,26-X6132012,2,Person,Person,Assault: Aggravated,Cully,1/3/2026,1806,Assault Offenses,1,Aggravated Assault,,,,,1/3/2026,January 2026
,26-X6132046,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,6/1/2025,1,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132052,2,Person,Person,Sex Offenses,Eliot,1/1/2026,1900,Sex Offenses,1,Rape,,,,,1/2/2026,January 2026
,26-X6132055,1,Person,Person,Sex Offenses,Hazelwood,1/3/2026,501,Sex Offenses,1,Rape,,,,,1/3/2026,January 2026
,26-X6132058,2,Person,Person,Sex Offenses,Eliot,1/4/2026,541,Sex Offenses,1,Rape,,,,,1/4/2026,January 2026
,26-X6132183,1,Person,Person,Assault: Simple/Intimidation,Centennial,1/4/2026,315,Assault Offenses,1,Simple Assault,,,,,1/4/2026,January 2026
,26-X6132208,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,1/4/2026,1206,Assault Offenses,1,Aggravated Assault,,,,,1/4/2026,January 2026
,26-X6132208,1,Property,Property,Vandalism,Powellhurst-Gilbert,1/4/2026,1206,Vandalism,1,Vandalism,,,,,1/4/2026,January 2026
,26-X6132209,3,Person,Person,Assault: Simple/Intimidation,Parkrose,1/5/2026,2,Assault Offenses,1,Simple Assault,,,,,1/5/2026,January 2026
,26-X6132218,3,Person,Person,Assault: Simple/Intimidation,Roseway,1/4/2026,1620,Assault Offenses,1,Intimidation,,,,,1/4/2026,January 2026
,26-X6132229,1,Person,Person,Assault: Simple/Intimidation,Pleasant Valley,1/4/2026,909,Assault Offenses,1,Simple Assault,,,,,1/4/2026,January 2026
,26-X6132258,,Person,Person,Sex Offenses,Other,12/31/2025,2000,Sex Offenses,1,Rape,,,,,1/4/2026,January 2026
,26-X6132522,2,Person,Person,Assault: Simple/Intimidation,King,1/5/2026,823,Assault Offenses,1,Simple Assault,,,,,1/5/2026,January 2026
,26-X6132546,2,Person,Person,Assault: Aggravated,Sullivan's Gulch,1/5/2026,2334,Assault Offenses,1,Aggravated Assault,,,,,1/5/2026,January 2026
,26-X6132571,4,Person,Person,Sex Offenses,Pearl,1/1/2026,100,Sex Offenses,1,Rape,,,,,1/6/2026,January 2026
,26-X6132591,1,Person,Person,Assault: Simple/Intimidation,Russell,1/2/2026,2337,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
,26-X6132593,2,Person,Person,Assault: Simple/Intimidation,Cathedral Park,1/2/2026,900,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132595,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/3/2026,325,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132596,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/3/2026,510,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132598,2,Person,Person,Assault: Aggravated,Humboldt,1/3/2026,700,Assault Offenses,1,Aggravated Assault,,,,,1/3/2026,January 2026
,26-X6132600,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/3/2026,1224,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132604,1,Person,Person,Assault: Aggravated,Centennial,12/29/2025,1628,Assault Offenses,1,Aggravated Assault,,,,,1/3/2026,January 2026
,26-X6132605,1,Person,Person,Assault: Simple/Intimidation,Glenfair,1/3/2025,1644,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132608,1,Person,Person,Assault: Simple/Intimidation,Centennial,1/3/2026,1649,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132610,2,Person,Person,Assault: Simple/Intimidation,Bridgeton,1/3/2026,2042,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132612,4,Person,Person,Assault: Simple/Intimidation,Downtown,1/3/2026,2125,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132616,3,Person,Person,Assault: Simple/Intimidation,Rose City Park,1/3/2026,2342,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132617,1,Person,Person,Assault: Simple/Intimidation,Pleasant Valley,1/4/2026,4,Assault Offenses,1,Simple Assault,,,,,1/4/2026,January 2026
,26-X6132622,1,Person,Person,Assault: Aggravated,Hazelwood,10/1/2025,0,Assault Offenses,1,Aggravated Assault,,,,,1/4/2026,January 2026
,26-X6132625,3,Person,Person,Assault: Simple/Intimidation,Creston-Kenilworth,1/4/2026,1340,Assault Offenses,1,Simple Assault,,,,,1/4/2026,January 2026
,26-X6132628,2,Person,Person,Assault: Simple/Intimidation,Vernon,1/6/2026,438,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6132705,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,1/5/2026,332,Assault Offenses,1,Simple Assault,,,,,1/5/2026,January 2026
,26-X6132706,4,Person,Person,Assault: Aggravated,Collins View,1/6/2026,1103,Assault Offenses,1,Aggravated Assault,,,,,1/6/2026,January 2026
,26-X6132706,4,Property,Property,Burglary,Collins View,1/6/2026,1103,Burglary,1,Burglary,,,,,1/6/2026,January 2026
,26-X6132707,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,1/5/2026,1106,Assault Offenses,1,Intimidation,,,,,1/5/2026,January 2026
,26-X6132708,4,Person,Person,Sex Offenses,Downtown,1/4/2026,1400,Sex Offenses,1,Sodomy,,,,,1/6/2026,January 2026
,26-X6132708,4,Property,Property,Fraud,Downtown,1/4/2026,1400,Fraud Offenses,1,Credit Card/ATM Fraud,,,,,1/6/2026,January 2026
,26-X6132713,2,Person,Person,Assault: Aggravated,Arbor Lodge,1/6/2026,1014,Assault Offenses,1,Aggravated Assault,,,,,1/6/2026,January 2026
,26-X6132730,2,Person,Person,Assault: Aggravated,Kenton,1/6/2026,657,Assault Offenses,1,Aggravated Assault,,,,,1/6/2026,January 2026
,26-X6132732,1,Person,Person,Assault: Simple/Intimidation,Argay,1/6/2026,1039,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6132733,2,Person,Person,Assault: Simple/Intimidation,Concordia,1/6/2026,1732,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6132734,2,Person,Person,Assault: Simple/Intimidation,Lloyd,1/6/2026,1948,Assault Offenses,1,Intimidation,,,,,1/6/2026,January 2026
,26-X6132749,2,Person,Person,Assault: Aggravated,Cully,1/6/2026,228,Assault Offenses,1,Aggravated Assault,,,,,1/6/2026,January 2026
,26-X6132765,,Person,Person,Sex Offenses,Other,2/3/2001,0,Sex Offenses,1,Rape,,,,,1/5/2026,January 2026
,26-X6132770,1,Person,Person,Assault: Aggravated,Lents,1/6/2026,1925,Assault Offenses,1,Aggravated Assault,,,,,1/6/2026,January 2026
,26-X6132859,2,Person,Person,Assault: Simple/Intimidation,St Johns,1/3/2026,1047,Assault Offenses,1,Simple Assault,,,,,1/3/2026,January 2026
,26-X6132864,1,Person,Person,Human Trafficking Offenses,Hazelwood,1/1/2023,0,Human Trafficking Offenses,1,Involuntary Servitude,,,,,1/6/2026,January 2026
,26-X6133063,1,Person,Person,Assault: Simple/Intimidation,Centennial,1/6/2026,811,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133079,2,Person,Person,Sex Offenses,Hollywood,1/1/2020,0,Sex Offenses,1,Statutory Rape,,,,,1/6/2026,January 2026
,26-X6133092,4,Person,Person,Assault: Simple/Intimidation,Goose Hollow,1/6/2026,1911,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6133147,1,Person,Person,Assault: Aggravated,Lents,1/7/2026,413,Assault Offenses,1,Aggravated Assault,,,,,1/7/2026,January 2026
,26-X6133194,1,Person,Person,Assault: Simple/Intimidation,Lents,1/6/2026,42,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6133196,2,Person,Person,Assault: Simple/Intimidation,East Columbia,1/5/2026,800,Assault Offenses,1,Intimidation,,,,,1/6/2026,January 2026
,26-X6133198,4,Person,Person,Assault: Simple/Intimidation,Pearl,12/17/2025,1000,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6133206,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/6/2026,2053,Assault Offenses,1,Simple Assault,,,,,1/6/2026,January 2026
,26-X6133217,3,Society,Society,Other Society Offenses,Kerns,1/7/2026,610,Pornography/Obscene Material,1,Pornography/Obscene Material,,,,,1/7/2026,January 2026
,26-X6133224,1,Person,Person,Assault: Simple/Intimidation,Mill Park,1/7/2026,817,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133232,2,Person,Person,Assault: Simple/Intimidation,Overlook,1/7/2026,959,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133271,2,Person,Person,Assault: Simple/Intimidation,Cathedral Park,1/7/2026,1130,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133278,3,Person,Person,Assault: Simple/Intimidation,Laurelhurst,1/4/2026,1200,Assault Offenses,1,Intimidation,,,,,1/7/2026,January 2026
,26-X6133282,2,Person,Person,Assault: Simple/Intimidation,Concordia,1/6/2026,800,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133284,4,Person,Person,Assault: Simple/Intimidation,Downtown,1/7/2026,1718,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133324,1,Person,Person,Assault: Simple/Intimidation,Centennial,1/7/2026,1550,Assault Offenses,1,Simple Assault,,,,,1/7/2026,January 2026
,26-X6133332,4,Person,Person,Sex Offenses,Pearl,10/18/2025,1324,Sex Offenses,1,Rape,,,,,1/7/2026,January 2026
,26-X6133349,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,1/1/2026,147,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6133371,,Person,Person,Sex Offenses,Other,1/4/2026,200,Sex Offenses,1,Sodomy,,,,,1/4/2026,January 2026
,26-X6133377,4,Person,Person,Sex Offenses,Old Town/Chinatown,1/3/2026,1600,Sex Offenses,1,Sodomy,,,,,1/7/2026,January 2026
,26-X6133457,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/8/2026,1140,Assault Offenses,1,Simple Assault,,,,,1/8/2026,January 2026
,26-X6133465,2,Person,Person,Assault: Simple/Intimidation,Overlook,1/7/2026,2328,Assault Offenses,1,Intimidation,,,,,1/7/2026,January 2026
,26-X6133570,3,Person,Person,Assault: Simple/Intimidation,Mt Scott-Arleta,1/8/2026,708,Assault Offenses,1,Simple Assault,,,,,1/8/2026,January 2026
,26-X6133578,2,Person,Person,Assault: Aggravated,Lloyd,1/8/2026,1415,Assault Offenses,1,Aggravated Assault,,,,,1/8/2026,January 2026
,26-X6133665,1,Person,Person,Assault: Simple/Intimidation,Lents,1/8/2026,2249,Assault Offenses,1,Simple Assault,,,,,1/8/2026,January 2026
,26-X6133674,4,Person,Person,Assault: Simple/Intimidation,Reed,1/8/2026,2329,Assault Offenses,1,Simple Assault,,,,,1/8/2026,January 2026
,26-X6133691,2,Person,Person,Assault: Aggravated,Humboldt,1/8/2026,1635,Assault Offenses,1,Aggravated Assault,,,,,1/8/2026,January 2026
,26-X6133708,2,Person,Person,Assault: Simple/Intimidation,St Johns,1/8/2026,2252,Assault Offenses,1,Intimidation,,,,,1/8/2026,January 2026
,26-X6133859,1,Person,Person,Assault: Simple/Intimidation,Lents,1/9/2026,327,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6133872,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/9/2026,453,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6134094,1,Property,Property,Vandalism,Powellhurst-Gilbert,1/9/2026,2120,Vandalism,1,Vandalism,,,,,1/9/2026,January 2026
,26-X6134121,4,Person,Person,Assault: Simple/Intimidation,Pearl,1/9/2026,1718,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6134121,4,Person,Person,Kidnapping/Abduction,Pearl,1/9/2026,1718,Kidnapping/Abduction,1,Kidnapping/Abduction,,,,,1/9/2026,January 2026
,26-X6134145,2,Person,Person,Assault: Simple/Intimidation,Humboldt,1/10/2026,42,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134145,2,Property,Property,Vandalism,Humboldt,1/10/2026,42,Vandalism,1,Vandalism,,,,,1/10/2026,January 2026
,26-X6134154,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,1/10/2026,36,Assault Offenses,1,Intimidation,,,,,1/10/2026,January 2026
,26-X6134154,2,Property,Property,Vandalism,Portsmouth,1/10/2026,36,Vandalism,1,Vandalism,,,,,1/10/2026,January 2026
,26-X6134234,2,Person,Person,Assault: Simple/Intimidation,King,1/9/2026,1245,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6134243,1,Person,Person,Assault: Simple/Intimidation,Glenfair,1/9/2026,1352,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6134243,1,Property,Property,Larceny: Other,Glenfair,1/9/2026,1352,Larceny Offenses,1,All Other Larceny,,,,,1/9/2026,January 2026
,26-X6134243,1,Property,Property,Vandalism,Glenfair,1/9/2026,1352,Vandalism,1,Vandalism,,,,,1/9/2026,January 2026
,26-X6134266,2,Property,Property,Robbery,Concordia,1/9/2026,1400,Robbery,1,Robbery,,,,,1/9/2026,January 2026
,26-X6134270,1,Person,Person,Assault: Simple/Intimidation,Parkrose,1/9/2026,1916,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6134280,2,Property,Property,Robbery,Sullivan's Gulch,1/10/2026,1,Robbery,1,Robbery,,,,,1/10/2026,January 2026
,26-X6134280,2,Property,Property,Vandalism,Sullivan's Gulch,1/10/2026,1,Vandalism,1,Vandalism,,,,,1/10/2026,January 2026
,26-X6134290,2,Person,Person,Assault: Simple/Intimidation,King,1/9/2026,1600,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134309,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/10/2026,734,Assault Offenses,1,Intimidation,,,,,1/10/2026,January 2026
,26-X6134311,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,1/10/2026,858,Assault Offenses,1,Aggravated Assault,,,,,1/10/2026,January 2026
,26-X6134331,1,Person,Person,Assault: Simple/Intimidation,Mill Park,1/9/2026,2341,Assault Offenses,1,Intimidation,,,,,1/9/2026,January 2026
,26-X6134332,4,Person,Person,Assault: Aggravated,Sellwood-Moreland,1/10/2026,27,Assault Offenses,1,Aggravated Assault,,,,,1/10/2026,January 2026
,26-X6134335,3,Person,Person,Assault: Simple/Intimidation,Madison South,1/10/2026,1537,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134336,4,Person,Person,Assault: Simple/Intimidation,Markham,1/10/2026,1335,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134337,4,Person,Person,Assault: Aggravated,Downtown,1/10/2026,1030,Assault Offenses,1,Aggravated Assault,,,,,1/10/2026,January 2026
,26-X6134346,2,Person,Person,Assault: Simple/Intimidation,Cully,1/9/2026,1545,Assault Offenses,1,Simple Assault,,,,,1/9/2026,January 2026
,26-X6134351,4,Person,Person,Assault: Simple/Intimidation,Downtown,1/10/2026,1755,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134513,3,Person,Person,Sex Offenses,Rose City Park,1/9/2026,30,Sex Offenses,1,Rape,,,,,1/9/2026,January 2026
,26-X6134558,1,Person,Person,Assault: Simple/Intimidation,Argay,1/10/2026,1245,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134576,2,Person,Person,Assault: Simple/Intimidation,Arbor Lodge,1/11/2026,244,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134576,2,Property,Property,Burglary,Arbor Lodge,1/11/2026,244,Burglary,1,Burglary,,,,,1/11/2026,January 2026
,26-X6134576,2,Property,Property,Vandalism,Arbor Lodge,1/11/2026,244,Vandalism,1,Vandalism,,,,,1/11/2026,January 2026
,26-X6134581,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/11/2026,540,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134595,4,Person,Person,Assault: Simple/Intimidation,Pearl,1/11/2026,1941,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134602,3,Person,Person,Assault: Simple/Intimidation,Mt Tabor,1/11/2026,1821,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134610,2,Person,Person,Assault: Simple/Intimidation,Eliot,1/11/2026,1631,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134615,2,Person,Person,Assault: Simple/Intimidation,King,1/11/2026,1550,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134623,2,Person,Person,Assault: Aggravated,Humboldt,1/9/2026,500,Assault Offenses,1,Aggravated Assault,,,,,1/10/2026,January 2026
,26-X6134713,4,Person,Person,Assault: Simple/Intimidation,Pearl,1/11/2026,537,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134778,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,1/10/2026,1835,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134791,4,Person,Person,Assault: Simple/Intimidation,Goose Hollow,1/10/2026,2111,Assault Offenses,1,Simple Assault,,,,,1/10/2026,January 2026
,26-X6134807,1,Person,Person,Assault: Aggravated,Parkrose,11/15/2025,1800,Assault Offenses,1,Aggravated Assault,,,,,1/12/2026,January 2026
,26-X6134822,4,Person,Person,Assault: Simple/Intimidation,Northwest,1/10/2026,10,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134825,4,Person,Person,Sex Offenses,Pearl,1/11/2026,407,Sex Offenses,1,Rape,,,,,1/11/2026,January 2026
,26-X6134829,4,Person,Person,Assault: Simple/Intimidation,Downtown,1/11/2026,827,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134894,2,Person,Person,Assault: Aggravated,Lloyd,1/11/2026,820,Assault Offenses,1,Aggravated Assault,,,,,1/11/2026,January 2026
,26-X6134898,1,Person,Person,Assault: Simple/Intimidation,Centennial,1/8/2026,1150,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6134901,4,Person,Person,Assault: Aggravated,Downtown,1/12/2026,400,Assault Offenses,1,Aggravated Assault,,,,,1/12/2026,January 2026
,26-X6134933,2,Person,Person,Assault: Aggravated,Sullivan's Gulch,1/12/2026,1534,Assault Offenses,1,Aggravated Assault,,,,,1/12/2026,January 2026
,26-X6134943,2,Person,Person,Assault: Simple/Intimidation,St Johns,11/3/2025,1,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134950,4,Person,Person,Assault: Simple/Intimidation,Pearl,1/12/2026,2242,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6134960,4,Person,Person,Assault: Simple/Intimidation,Northwest,1/13/2026,110,Assault Offenses,1,Simple Assault,,,,,1/13/2026,January 2026
,26-X6134971,2,Person,Person,Assault: Simple/Intimidation,Eliot,1/11/2026,258,Assault Offenses,1,Simple Assault,,,,,1/11/2026,January 2026
,26-X6134988,2,Person,Person,Assault: Simple/Intimidation,Arbor Lodge,1/12/2026,412,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6134991,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,1/12/2026,818,Assault Offenses,1,Aggravated Assault,,,,,1/12/2026,January 2026
,26-X6134995,2,Person,Person,Assault: Aggravated,Cully,1/12/2026,1303,Assault Offenses,1,Aggravated Assault,,,,,1/12/2026,January 2026
,26-X6134995,2,Property,Property,Vandalism,Cully,1/12/2026,1303,Vandalism,1,Vandalism,,,,,1/12/2026,January 2026
,26-X6135005,,Person,Person,Assault: Aggravated,Other,1/10/2026,1200,Assault Offenses,1,Aggravated Assault,,,,,1/12/2026,January 2026
,26-X6135013,3,Person,Person,Assault: Simple/Intimidation,Foster-Powell,1/12/2026,1500,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6135164,1,Person,Person,Assault: Simple/Intimidation,Centennial,1/12/2026,1746,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6135182,2,Person,Person,Assault: Simple/Intimidation,East Columbia,1/12/2026,2000,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6135187,2,Person,Person,Assault: Simple/Intimidation,Eliot,1/12/2026,2152,Assault Offenses,1,Simple Assault,,,,,1/12/2026,January 2026
,26-X6135188,3,Person,Person,Sex Offenses,Hosford-Abernethy,1/10/2026,0,Sex Offenses,1,Rape,,,,,1/11/2026,January 2026
,26-X6135205,1,Person,Person,Assault: Aggravated,Parkrose,1/10/2026,745,Assault Offenses,1,Aggravated Assault,,,,,1/10/2026,January 2026
,26-X6135222,2,Person,Person,Assault: Simple/Intimidation,St Johns,1/13/2026,1138,Assault Offenses,1,Simple Assault,,,,,1/13/2026,January 2026
,26-X6135229,2,Property,Property,Larceny: Other,Humboldt,12/31/2025,1200,Larceny Offenses,1,Theft From Building,,,,,1/9/2026,January 2026
,26-X6135229,2,Property,Property,Vandalism,Humboldt,12/31/2025,1200,Vandalism,1,Vandalism,,,,,1/9/2026,January 2026
,26-X6135233,3,Person,Person,Assault: Simple/Intimidation,Brentwood-Darlington,1/13/2026,1042,Assault Offenses,1,Simple Assault,,,,,1/13/2026,January 2026
,26-X6135252,1,Person,Person,Assault: Simple/Intimidation,Pleasant Valley,1/13/2026,1857,Assault Offenses,1,Simple Assault,,,,,1/13/2026,January 2026
,26-X6135253,1,Person,Person,Assault: Simple/Intimidation,Lents,1/13/2026,2341,Assault Offenses,1,Simple Assault,,,,,1/14/2026,January 2026
,26-X6135276,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,1/14/2026,205,Assault Offenses,1,Aggravated Assault,,,,,1/14/2026,January 2026
,26-X6135327,4,Person,Person,Assault: Simple/Intimidation,Northwest,1/13/2026,707,Assault Offenses,1,Simple Assault,,,,,1/13/2026,January 2026
,26-X6135327,4,Property,Property,Larceny: Other,Northwest,1/13/2026,707,Larceny Offenses,1,All Other Larceny,,,,,1/13/2026,January 2026
,26-X6135335,1,Person,Person,Assault: Simple/Intimidation,Pleasant Valley,1/13/2026,1219,Assault Offenses,1,Simple Assault,,,,,1/13/2026,January 2026
